id;categorie;article;unite;nom_odoo;url_image
32;Boutique;Boite Bleue;pkt;;
24;Boutique;Boite JAUNE;pkt;"P- Cc Boite JAUNE 23,5x11,5x12";
33;Boutique;boite kaki;pkt;;
25;Boutique;Boite kaki;pkt;P- Boite kaki 16X14X7cm;
26;Boutique;Boite Rose;pkt;P- Cc Boite Jaune Pale 20x20x12;
27;Boutique;Boite verte;pkt;"P- Cc Boite 27,9x27,9 verte";
19;Boutique;Bougies Blanches Grandes;pkt;[881] CD- Bougies (simple);
20;Boutique;Bougies Blanches Petites;pkt;[881] CD- Bougies (simple);
21;Boutique;Bougies Fines;pkt;CD- Bougies (Fine);
10;Boutique;Bouteille jus 1L;u;C- Bouteille jus 1L;
3;Boutique;Canette  Sprite;u;B- Sprite;
4;Boutique;Canette Coca Cola;u;B- Coca Cola;
5;Boutique;Canette Coca Zéro;u;B- Coca Zéro;
6;Boutique;Canette Schweps citron;u;B- Schweps citron;
47;Boutique;Celophane Emballage;Units;P- Celophane Emballage;
7;Boutique;Chocolat chaud Vergnano;kg;B- Chocolat chaud Vergnano;
36;Boutique;Citron;kg;F- Citron fruit;
11;Boutique;Couteau transparent;pkt;C- Couteau transparent;
8;Boutique;Créme  fouettée spray;u;;
44;Boutique;Essuis Mains;pkt;C- Rouleau Essuie Main;
22;Boutique;Flamme;pkt;C- Flamme;
12;Boutique;Fourchette transparente;pkt;C- Fourchette transparente;
13;Boutique;Gant latex noir 100 pcs;u;C- Gant latex noir 100 pcs;
37;Boutique;Gingembre;kg;F- Gingembre frais;
14;Boutique;Gobelet grand;pkt;C- Gobelet grand;
15;Boutique;Gobelet jus;pkt;C- Gobelet jus;
38;Boutique;Jus Ananas;kg;MP- Pur Jus Ananas;
9;Boutique;Lait UHT;kg;MP- Lait UHT;
45;Boutique;Lingette;u;C- Lingette;
39;Boutique;Myrtilles;kg;F- Myrtilles;
40;Boutique;Orange;kg;F- Orange;
16;Boutique;Pailles Noires (Pack 100);pkt;C- Pailles Noires (Pack 250);
41;Boutique;Purée Ananas;kg;MP- Purée d'Ananas;
42;Boutique;Purée Framboise;kg;MP- Purée de Framboise;
43;Boutique;Purée mangue;kg;MP- Purée de Mangue;
1;Boutique;Rame Papier A4;pkt;C- Rame Papier A4;
48;Boutique;Rouleau celophane;u;C- Rouleau celophane;
49;Boutique;Rouleau de caisse;u;C- Rouleau de caisse;
50;Boutique;Rouleau TPE;u;C- Rouleau TPE;
2;Boutique;Ruban;u;"P- Ruban Satiné 2,5 cm LG 100 M";
28;Boutique;Sac Bleu;pkt;P- Cc Sac Bleu 27X27X27;
29;Boutique;Sac jaune;pkt;;
46;Boutique;SAC Poubelle 30L;pkt;C- Sac poubelle 30L;
30;Boutique;Sac Vert;pkt;P- Cc Sac Vert 35x35x29;
31;Boutique;Sac vert craft;pkt;P- Cc Sac vert craft;
34;Boutique;Sachet 8cm cookies;Units;P- Sachet 8cm cookies;
35;Boutique;Sachet viennoiserie 500u;pkt;P- Sachet viennoiserie Grand;
17;Boutique;Serviettes 30x30 (100pc) BLANC;u;C-  Serviettes 30x30 (100pc) BLANC;
