nom;quantite;unite;stock_odoo;compte_par;compte_le;envoye_le
"SM- Cheesecake nature";"23";"Units";"23";"Layla";"2026-09-07T10:52:28.9+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- cadre citron meringuée Production";"1";"Units";"55";"YASMINA BENATTABOU";"2026-09-02T07:06:25.172+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- cadre foret noir grand Production";"4";"Units";"528";"YASMINA BENATTABOU";"2026-09-02T07:06:43.988+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- cadre foret noir mignardise Production";"1";"Units";"168";"YASMINA BENATTABOU";"2026-09-02T07:06:46.452+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Cake Chocolat Individuel";"24";"Units";"31";"YASMINA BENATTABOU";"2026-09-02T07:11:20.667+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Cake praliné individuel";"32";"Units";"1";"YASMINA BENATTABOU";"2026-09-02T07:11:49.708+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Cheesecake Exotique 10 pers";"19";"Units";"16";"YASMINA BENATTABOU";"2026-09-02T07:12:57.655+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Fond de tarte nature 10cm";"0";"Units";"8";"YASMINA BENATTABOU";"2026-09-02T07:32:17.068+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Croissant";"93";"Units";"106";"YASMINA BENATTABOU";"2026-09-02T07:39:29.62+00:00";"2026-09-03T21:13:17.195+00:00"
"SM-Pain raisin";"42";"Units";"55";"YASMINA BENATTABOU";"2026-09-02T07:41:22.33+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Farce Kunafa Bueno";"0";"g";"13500";"YASMINA BENATTABOU";"2026-09-02T06:59:14.769+00:00";"2026-09-03T21:13:17.195+00:00"
"SM CD* Crème au beurre Tagatesse";"0";"kg";"0.23";"YASMINA BENATTABOU";"2026-09-02T07:00:10.06+00:00";"2026-09-03T21:13:17.195+00:00"
